set_tournament_id,set_tournament_code,match_tournament_code,score_start_1,score_start_2,score_end_1,score_end_2
1_1_1,2019_1_1,2019_1,5,5,12,25
1_1_2,2019_1_2,2019_1,5,5,26,28
1_2_1,2019_2_1,2019_2,5,5,18,25
1_2_2,2019_2_2,2019_2,5,5,21,25
1_3_1,2019_3_1,2019_3,5,5,19,25
1_3_2,2019_3_2,2019_3,5,5,16,25
1_4_1,2019_4_1,2019_4,5,5,25,21
1_4_2,2019_4_2,2019_4,5,5,20,25
1_5_1,2019_5_1,2019_5,5,5,23,25
1_5_2,2019_5_2,2019_5,5,5,25,22
1_6_1,2019_6_1,2019_6,5,5,25,21
1_6_2,2019_6_2,2019_6,5,5,19,25
1_7_1,2019_7_1,2019_7,5,5,25,20
1_7_2,2019_7_2,2019_7,5,5,25,22
1_8_1,2019_8_1,2019_8,5,5,19,25
1_8_2,2019_8_2,2019_8,5,5,26,24
1_9_1,2019_9_1,2019_9,5,5,21,25
1_9_2,2019_9_2,2019_9,5,5,21,25
1_10_1,2019_10_1,2019_10,5,5,22,25
1_10_2,2019_10_2,2019_10,5,5,17,25
