match_tournament_id,match_tournament_code,team_tournament_code_1,team_tournament_code_2,gender,group_stage,quarterfinals,semifinals,finals,thirdplace,lower_playoff,other
2_1,2020_1,2020_1,2020_2,mixed,1,0,0,0,0,0,0
2_2,2020_2,2020_1,2020_3,mixed,1,0,0,0,0,0,0
2_3,2020_3,2020_1,2020_4,mixed,1,0,0,0,0,0,0
2_4,2020_4,2020_1,2020_5,mixed,1,0,0,0,0,0,0
2_5,2020_5,2020_2,2020_3,mixed,1,0,0,0,0,0,0
2_6,2020_6,2020_2,2020_4,mixed,1,0,0,0,0,0,0
2_7,2020_7,2020_2,2020_5,mixed,1,0,0,0,0,0,0
2_8,2020_8,2020_3,2020_4,mixed,1,0,0,0,0,0,0
2_9,2020_9,2020_3,2020_5,mixed,1,0,0,0,0,0,0
2_10,2020_10,2020_4,2020_5,mixed,1,0,0,0,0,0,0
2_11,2020_11,2020_3,2020_2,mixed,0,0,0,1,0,0,0
