match_tournament_id,match_tournament_code,team_tournament_code_1,team_tournament_code_2,gender,group_stage,quarterfinals,semifinals,finals,thirdplace
5_1,2021-beach_1,2021-beach_alpha_HerZu,2021-beach_alpha_KubAn,mixed,1,0,0,0,0
5_2,2021-beach_2,2021-beach_alpha_VojAn,2021-beach_alpha_KunMi,mixed,1,0,0,0,0
5_3,2021-beach_3,2021-beach_alpha_HerAnJ,2021-beach_alpha_VojZu,mixed,1,0,0,0,0
5_4,2021-beach_4,2021-beach_alpha_HerAn,2021-beach_alpha_RomZu,mixed,1,0,0,0,0
5_5,2021-beach_5,2021-beach_alpha_HerMi,2021-beach_alpha_KunZu,mixed,1,0,0,0,0
5_6,2021-beach_6,2021-beach_alpha_KubZu,2021-beach_alpha_VojAnJ,mixed,1,0,0,0,0
5_7,2021-beach_7,2021-beach_alpha_RomMi,2021-beach_alpha_KunAnJ,mixed,1,0,0,0,0
5_8,2021-beach_8,2021-beach_beta_JirLu,2021-beach_beta_OndBa,mixed,1,0,0,0,0
5_9,2021-beach_9,2021-beach_beta_ZelBaJ,2021-beach_beta_HonLu,mixed,1,0,0,0,0
5_10,2021-beach_10,2021-beach_beta_SimBa,2021-beach_beta_OndMa,mixed,1,0,0,0,0
5_11,2021-beach_11,2021-beach_beta_ZelMa,2021-beach_beta_JirBaJ,mixed,1,0,0,0,0
5_12,2021-beach_12,2021-beach_beta_ZelLu,2021-beach_beta_SimBaJ,mixed,1,0,0,0,0
5_13,2021-beach_13,2021-beach_beta_ZelBa,2021-beach_beta_OndBaJ,mixed,1,0,0,0,0
5_14,2021-beach_14,2021-beach_beta_HonBaJ,2021-beach_beta_JirMa,mixed,1,0,0,0,0
5_15,2021-beach_15,2021-beach_alpha_RomAnJ,2021-beach_alpha_VojMi,mixed,1,0,0,0,0
5_16,2021-beach_16,2021-beach_beta_SimMa,2021-beach_beta_JirBa,mixed,1,0,0,0,0
5_17,2021-beach_17,2021-beach_alpha_KubMi,2021-beach_alpha_KunAn,mixed,1,0,0,0,0
5_18,2021-beach_18,2021-beach_beta_HonBa,2021-beach_beta_OndLu,mixed,1,0,0,0,0
5_19,2021-beach_19,2021-beach_alpha_KubAnJ,2021-beach_alpha_RomAn,mixed,1,0,0,0,0
5_20,2021-beach_20,2021-beach_beta_HonMa,2021-beach_beta_SimLu,mixed,1,0,0,0,0
5_21,2021-beach_21,2021-beach_men_KubOnd,2021-beach_alpha_KunSim,men,0,0,0,0,0
5_22,2021-beach_22,2021-beach_men_HerZel,2021-beach_men_JirVoj,men,0,0,0,0,0
5_23,2021-beach_23,2021-beach_men_KunSim,2021-beach_men_JirVoj,men,0,0,0,0,0
5_24,2021-beach_24,2021-beach_final_RomBaJ,2021-beach_final_JirZu,mixed,0,1,0,0,0
5_25,2021-beach_25,2021-beach_final_OndMi,2021-beach_final_HerBa,mixed,0,1,0,0,0
5_26,2021-beach_26,2021-beach_final_HonAn,2021-beach_final_VojLu,mixed,0,1,0,0,0
5_27,2021-beach_27,2021-beach_final_KubMa,2021-beach_final_ZelAnJ,mixed,0,1,0,0,0
5_28,2021-beach_28,2021-beach_final_JirZu,2021-beach_final_OndMi,mixed,0,0,0,0,0
5_29,2021-beach_29,2021-beach_final_VojLu,2021-beach_final_ZelAnJ,mixed,0,0,0,0,0
5_30,2021-beach_30,2021-beach_final_OndMi,2021-beach_final_ZelAnJ,mixed,0,0,0,0,0
5_31,2021-beach_31,2021-beach_final_JirZu,2021-beach_final_VojLu,mixed,0,0,0,0,0
5_32,2021-beach_32,2021-beach_final_RomBaJ,2021-beach_final_HerBa,mixed,0,0,1,0,0
5_33,2021-beach_33,2021-beach_final_HonAn,2021-beach_final_KubMa,mixed,0,0,1,0,0
5_34,2021-beach_34,2021-beach_final_HerBa,2021-beach_final_HonAn,mixed,0,0,0,0,1
5_35,2021-beach_35,2021-beach_final_RomBaJ,2021-beach_final_KubMa,mixed,0,0,0,1,0
