set_tournament_id,set_tournament_code,match_tournament_code,score_start_1,score_start_2,score_end_1,score_end_2
5_1_1,2021-beach_1_1,2021-beach_1,0,0,7,12
5_1_2,2021-beach_1_2,2021-beach_1,0,0,11,13
5_2_1,2021-beach_2_1,2021-beach_2,0,0,12,7
5_2_2,2021-beach_2_2,2021-beach_2,0,0,12,6
5_3_1,2021-beach_3_1,2021-beach_3,0,0,12,8
5_3_2,2021-beach_3_2,2021-beach_3,0,0,10,12
5_4_1,2021-beach_4_1,2021-beach_4,0,0,8,12
5_4_2,2021-beach_4_2,2021-beach_4,0,0,12,5
5_4_1,2021-beach_5_1,2021-beach_5,0,0,12,8
5_5_2,2021-beach_5_2,2021-beach_5,0,0,12,8
5_6_1,2021-beach_6_1,2021-beach_6,0,0,12,8
5_6_2,2021-beach_6_2,2021-beach_6,0,0,12,9
5_7_1,2021-beach_7_1,2021-beach_7,0,0,12,8
5_7_2,2021-beach_7_2,2021-beach_7,0,0,12,3
5_8_1,2021-beach_8_1,2021-beach_8,0,0,5,12
5_8_2,2021-beach_8_2,2021-beach_8,0,0,14,12
5_9_1,2021-beach_9_1,2021-beach_9,0,0,12,6
5_9_2,2021-beach_9_2,2021-beach_9,0,0,2,12
5_10_1,2021-beach_10_1,2021-beach_10,0,0,7,12
5_10_2,2021-beach_10_2,2021-beach_10,0,0,12,10
5_11_1,2021-beach_11_1,2021-beach_11,0,0,12,9
5_11_2,2021-beach_11_2,2021-beach_11,0,0,12,8
5_12_1,2021-beach_12_1,2021-beach_12,0,0,12,8
5_12_2,2021-beach_12_2,2021-beach_12,0,0,4,12
5_13_1,2021-beach_13_1,2021-beach_13,0,0,10,12
5_13_2,2021-beach_13_2,2021-beach_13,0,0,10,12
5_14_1,2021-beach_14_1,2021-beach_14,0,0,13,11
5_14_2,2021-beach_14_2,2021-beach_14,0,0,12,9
5_15_1,2021-beach_15_1,2021-beach_15,0,0,12,10
5_15_2,2021-beach_15_2,2021-beach_15,0,0,12,5
5_16_1,2021-beach_16_1,2021-beach_16,0,0,8,12
5_16_2,2021-beach_16_2,2021-beach_16,0,0,11,13
5_17_1,2021-beach_17_1,2021-beach_17,0,0,5,12
5_17_2,2021-beach_17_2,2021-beach_17,0,0,12,10
5_18_1,2021-beach_18_1,2021-beach_18,0,0,13,11
5_18_2,2021-beach_18_2,2021-beach_18,0,0,10,12
5_19_1,2021-beach_19_1,2021-beach_19,0,0,13,15
5_19_2,2021-beach_19_2,2021-beach_19,0,0,12,8
5_20_1,2021-beach_20_1,2021-beach_20,0,0,12,3
5_20_2,2021-beach_20_2,2021-beach_20,0,0,12,5
5_21_1,2021-beach_21_1,2021-beach_21,0,0,15,13
5_21_2,2021-beach_21_2,2021-beach_21,0,0,15,13
5_22_1,2021-beach_22_1,2021-beach_22,0,0,15,6
5_22_1,2021-beach_22_2,2021-beach_22,0,0,15,12
5_23_1,2021-beach_23_1,2021-beach_23,0,0,16,18
5_23_2,2021-beach_23_2,2021-beach_23,0,0,15,11
5_23_3,2021-beach_23_3,2021-beach_23,0,0,8,10
5_24_1,2021-beach_24_1,2021-beach_24,0,0,12,6
5_24_2,2021-beach_24_2,2021-beach_24,0,0,9,12
5_24_3,2021-beach_24_3,2021-beach_24,0,0,10,5
5_25_1,2021-beach_25_1,2021-beach_25,0,0,12,6
5_25_2,2021-beach_25_2,2021-beach_25,0,0,10,12
5_25_3,2021-beach_25_3,2021-beach_25,0,0,11,13
5_26_1,2021-beach_26_1,2021-beach_26,0,0,12,6
5_26_2,2021-beach_26_2,2021-beach_26,0,0,12,8
5_27_1,2021-beach_27_1,2021-beach_27,0,0,12,10
5_27_2,2021-beach_27_2,2021-beach_27,0,0,12,9
5_28_1,2021-beach_28_1,2021-beach_28,0,0,13,11
5_28_2,2021-beach_28_2,2021-beach_28,0,0,10,12
5_28_3,2021-beach_28_3,2021-beach_28,0,0,2,10
5_29_1,2021-beach_29_1,2021-beach_29,0,0,7,12
5_29_2,2021-beach_29_2,2021-beach_29,0,0,13,11
5_29_3,2021-beach_29_3,2021-beach_29,0,0,5,10
5_30_1,2021-beach_30_1,2021-beach_30,0,0,9,12
5_30_2,2021-beach_30_2,2021-beach_30,0,0,12,7
5_30_3,2021-beach_30_3,2021-beach_30,0,0,6,10
5_31_1,2021-beach_31_1,2021-beach_31,0,0,12,0
5_31_2,2021-beach_31_2,2021-beach_31,0,0,6,12
5_31_3,2021-beach_31_3,2021-beach_31,0,0,10,7
5_32_1,2021-beach_32_1,2021-beach_32,0,0,15,8
5_32_2,2021-beach_32_2,2021-beach_32,0,0,11,15
5_32_3,2021-beach_32_3,2021-beach_32,0,0,10,6
5_33_1,2021-beach_33_1,2021-beach_33,0,0,12,15
5_33_2,2021-beach_33_2,2021-beach_33,0,0,11,15
5_34_1,2021-beach_34_1,2021-beach_34,0,0,18,21
5_34_2,2021-beach_34_2,2021-beach_34,0,0,16,21
5_35_1,2021-beach_35_1,2021-beach_35,0,0,21,19
5_35_2,2021-beach_35_2,2021-beach_35,0,0,21,19
