match_tournament_id,match_tournament_code,team_tournament_code_1,team_tournament_code_2,group_stage,quarterfinals,semifinals,finals,thirdplace
3_1,2021-profi_1,2021-profi_Atanasijević,2021-profi_Bruno,1,0,0,0,0
3_2,2021-profi_2,2021-profi_Christenson,2021-profi_Džiannelli,1,0,0,0,0
3_3,2021-profi_3,2021-profi_Atanasijević,2021-profi_Džiannelli,1,0,0,0,0
3_4,2021-profi_4,2021-profi_Bruno,2021-profi_Christenson,1,0,0,0,0
3_5,2021-profi_5,2021-profi_Bruno,2021-profi_Džiannelli,1,0,0,0,0
3_6,2021-profi_6,2021-profi_Atanasijević,2021-profi_Christenson,1,0,0,0,0
3_7,2021-profi_7,2021-profi_León,2021-profi_Juantorena,1,0,0,0,0
3_8,2021-profi_8,2021-profi_Kurek,2021-profi_Ishikawa,1,0,0,0,0
3_9,2021-profi_9,2021-profi_Ishikawa,2021-profi_Juantorena,1,0,0,0,0
3_10,2021-profi_10,2021-profi_Kurek,2021-profi_León,1,0,0,0,0
3_11,2021-profi_11,2021-profi_Kurek,2021-profi_Juantorena,1,0,0,0,0
3_12,2021-profi_12,2021-profi_León,2021-profi_Ishikawa,1,0,0,0,0
