set_tournament_id,set_tournament_code,match_tournament_code,score_start_1,score_start_2,score_end_1,score_end_2
7_1_1,2022-hobby_1_1,2022-hobby_1,5,5,25,21
7_1_2,2022-hobby_1_2,2022-hobby_1,5,5,23,25
7_2_1,2022-hobby_2_1,2022-hobby_2,5,5,26,28
7_2_2,2022-hobby_2_2,2022-hobby_2,5,5,21,25
7_3_1,2022-hobby_3_1,2022-hobby_3,5,5,21,25
7_3_2,2022-hobby_3_2,2022-hobby_3,5,5,21,25
7_4_1,2022-hobby_4_1,2022-hobby_4,5,5,25,22
7_4_2,2022-hobby_4_2,2022-hobby_4,5,5,23,25
7_5_1,2022-hobby_5_1,2022-hobby_5,5,5,25,27
7_5_2,2022-hobby_5_2,2022-hobby_5,5,5,22,25
7_6_1,2022-hobby_6_1,2022-hobby_6,5,5,25,19
7_6_2,2022-hobby_6_2,2022-hobby_6,5,5,25,20
7_7_1,2022-hobby_7_1,2022-hobby_7,8,8,25,23
7_7_2,2022-hobby_7_2,2022-hobby_7,8,8,11,25
7_7_3,2022-hobby_7_3,2022-hobby_7,0,0,15,12
7_8_1,2022-hobby_8_1,2022-hobby_8,8,8,25,19
7_8_2,2022-hobby_8_2,2022-hobby_8,8,8,25,27
7_8_3,2022-hobby_8_3,2022-hobby_8,0,0,13,15
7_9_1,2022-hobby_9_1,2022-hobby_9,8,8,26,24
7_9_2,2022-hobby_9_2,2022-hobby_9,8,8,25,22
7_10_1,2022-hobby_10_1,2022-hobby_10,8,8,25,21
7_10_2,2022-hobby_10_2,2022-hobby_10,8,8,25,22
7_11_1,2022-hobby_11_1,2022-hobby_11,8,8,25,19
7_11_2,2022-hobby_11_2,2022-hobby_11,8,8,25,21
7_12_1,2022-hobby_12_1,2022-hobby_12,8,8,21,25
7_12_2,2022-hobby_12_2,2022-hobby_12,8,8,26,24
7_12_3,2022-hobby_12_3,2022-hobby_12,0,0,10,15
7_13_1,2022-hobby_13_1,2022-hobby_13,8,8,21,25
7_13_2,2022-hobby_13_2,2022-hobby_13,8,8,19,25
