set_tournament_id,set_tournament_code,match_tournament_code,score_start_1,score_start_2,score_end_1,score_end_2
6_1_1,2022-profi_1_1,2022-profi_1,5,5,22,25
6_1_2,2022-profi_1_2,2022-profi_1,5,5,19,25
6_2_1,2022-profi_2_1,2022-profi_2,5,5,23,25
6_2_2,2022-profi_2_2,2022-profi_2,5,5,24,26
6_3_1,2022-profi_3_1,2022-profi_3,5,5,25,21
6_3_2,2022-profi_3_2,2022-profi_3,5,5,22,25
6_4_1,2022-profi_4_1,2022-profi_4,5,5,21,25
6_4_2,2022-profi_4_2,2022-profi_4,5,5,25,20
6_5_1,2022-profi_5_1,2022-profi_5,5,5,25,23
6_5_2,2022-profi_5_2,2022-profi_5,5,5,25,19
6_6_1,2022-profi_6_1,2022-profi_6,5,5,25,14
6_6_2,2022-profi_6_2,2022-profi_6,5,5,25,17
6_7_1,2022-profi_7_1,2022-profi_7,5,5,15,25
6_7_2,2022-profi_7_2,2022-profi_7,5,5,26,24
6_8_1,2022-profi_8_1,2022-profi_8,5,5,27,29
6_8_2,2022-profi_8_2,2022-profi_8,5,5,17,25
6_9_1,2022-profi_9_1,2022-profi_9,5,5,25,17
6_9_2,2022-profi_9_2,2022-profi_9,5,5,25,23
6_10_1,2022-profi_10_1,2022-profi_10,5,5,27,29
6_10_2,2022-profi_10_2,2022-profi_10,5,5,16,25
6_11_1,2022-profi_11_1,2022-profi_11,5,5,28,26
6_11_2,2022-profi_11_2,2022-profi_11,5,5,23,25
6_12_1,2022-profi_12_1,2022-profi_12,5,5,23,25
6_12_2,2022-profi_12_2,2022-profi_12,5,5,18,25
6_13_1,2022-profi_13_1,2022-profi_13,5,5,25,23
6_13_2,2022-profi_13_2,2022-profi_13,5,5,25,18
